"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","840","840","920","1130","1350","2120","2890","4090","4360","4540","4660","4960","5150","5910","6200","7080","7910","8900","9030","9230","9840","10200","10950","11260","11930","12920","13510","14770","16400","16280","18050","20840","22380","21900",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220","5330","4920","4650","4180","3840","4040","4590","5060","5340","5770","6220","6680","7370","8480","9650","10960","12210","13710","13730","15030","16380","17710","18350","18470","17360","16990","17720","19300","21640","23860","26600","27240","29830","32220",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4410","4980","5590","5930","5880","5930","5910","6080","6120","6530","7200","7410","7720","8260","8490","8740","9140","9290","9040","9220","8960","9180","8680","8960","8880","9120","8940","8620","8880","9810","9340","11300","12830","13320","14530",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73780","72730","72220","74820","74730","78670","82690","89200","88770","92220","87660","96260","110800","116760","124400",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2170","2320","2390","2500","2640","2770","2890","3040","3190","3180","3270","3350","3420","3490","3640","3870","4130","4350","4660","4730","4870","5170","5510","6180","6680","6910","7410","8260","8740","8990","8200","9210","10070","10620","10880",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6510","6710","6740","7080","7430","7980","8190","8460","8420","8370","8830","9000","9290","9490","10210","10760","11460","12400","13120","13090","14010","14820","14820","15500","15530","14540","14010","14290","15030","15640","15770","17510","19300","20500","21650",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10820","10750","10390","10640","11040","11410","12030","12890","13520","13680","14610","14490","14700","15170","15830","16680","17860","19050","19210","18430","18570","18090","17350","17350","17100","17090","17270","17170","17760","17890","15620","15400","19260","20490","21740",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70200","72610","70020","69390","69780","70440","70010","73980","68260","70580","73090","74250","76840","79630","80400","81530","86110","84080","80750","78300","78960","80510","85160","82320","81150","65860","60830","65320","65550","71210","71890","78750","79990","86130","92860",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540","1520","1640","1800","1990","2090","2280","2460","2420","2520","3110","3340","3610","3860","4080","4460","4840","5650","5880","6220","6870","7480","7960","8120","8720","9550","10390","10720","10950","11830","11750","12700","14280","15360","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5800","6570","6800","7200","6520","7300","7310","8070","8480","8550","8600","8990","8450","9210","9410","10240","11600","12650","12840","11340","12000","13270","12710","12720","14550","13670","14840","14370","14320","16010","15310","18000","20010","21040","20570",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","610","610","570","560","580","620","590","620","630","650","630","660","680","650","680","700","740","780","790","870","940","980","1070","720","710","780","840","930","970","1060","1130","1210","1280","1330","1340",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19500","19550","19890","20710","21820","22680","23250","24480","25430","26900","28590","29380","30180","31560","33200","35590","37510","38990","39780","38190","39310","40880","41540","43630","45020","43990","45900","47700","49130","49900","48240","56470","62680","63330","64470",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7150.8427724717","6696.21928700002","6617.12905188616","6880.08077585316","7307.45421555637","7943.53061364296","8326.92368654095","8585.14632642003","8974.61116727172","9266.34096406501","9884.62014328586","10658.5306532832","11439.9437069048","12045.8171333537","13015.3184154649","13894.3382298692","15343.8878294293","16967.8302587844","19012.0766416758","19115.5120891752","20181.9107008155","21562.6668418236","22402.3135750906","23213.9837109988","24273.7382321316","25356.6829774971","26974.8775495335","29031.5822316697","31235.1284619049","34743.4272041427","35492.2797960735","38885.1859260334","43242.5043744269","45166.4664264627","48257.1479809633",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28990","29350","29590","30120","30650","31500","32270","34090","35400","36590","39020","39220","39640","41170","42560","44860","49560","51130","50260","53740","57260","57830","60440","62660","63350","65940","66960","67250","68130","71170","70510","78090","88840","87740","90820",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4210","4640","5330","5850","6190","6960","7640","8250","8650","8590","9050","9450","9740","10170","10760","11560","13850","15060","15090","14860","16760","18370","20200","21210","21550","21910","22610","23350","24270","24650","23770","27440","29310","31390","32850",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1110","1280","1470","1680","1850","2060","2270","2440","2650","2930","3210","3550","3980","4490","5110","5940","6950","7760","8430","9370","10360","11390","12130","12960","13400","14090","15000","16230","17550","18120","20700","22840","24970","26920",
